Data: bioavailability.csv
Input data size: (359, 242)
Ground complexity: 151876620329.0
Ground complexity on training data: 108871574822.0
Run GP with parameters:  {'const_range': (-1.0, 1.0), 'first_tournament': 'fitness', 'function_set': ('add', 'sub', 'mul', 'div'), 'generations': 500, 'init_depth': (2, 6), 'init_method': 'half and half', 'max_samples': 1.0, 'metric': 'mean absolute error', 'n_jobs': 2, 'p_crossover': 0.7, 'p_hoist_mutation': 0.05, 'p_point_mutation': 0.1, 'p_point_replace': 0.05, 'p_subtree_mutation': 0.1, 'parsimony_coefficient': 0.001, 'population_size': 200, 'random_state': 42, 'safe_best_program_to_file': (True,), 'second_tournament': 'complexity', 'second_tournament_size': 1.4, 'stopping_criteria': 0.01, 'tournament_size': 10, 'verbose': 1, 'warm_start': False}
    |    Population Average   |                                            Best Individual                                              |
---- ------------------------- --------------------------------------------------------------------------------------------------------- ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness       Complexity                                       Program  Time Left
   0    22.92    878121.213462      127    44.9950283452              N/A    1.59920820027                 str too long - check pdf-file      1.18m
   1    34.05    65.7550449206       15     43.463686251              N/A   0.401621552119                 str too long - check pdf-file     88.42m
   2    58.18    75.9402147158        7    36.0242296813              N/A   0.613003038797              add(add(X93, X3), sub(X3, X106))    129.59m
   3     68.0    122.448657649       17    35.2498108725              N/A   0.710236742276                 str too long - check pdf-file    149.55m
   4    61.83    62.6375580681       29    34.5244557291              N/A   0.817965365325                 str too long - check pdf-file    167.29m
   5    34.24     45.202765445       59     33.479340965              N/A   0.984551323738                 str too long - check pdf-file    169.89m
   6     22.6    48.2037479203        9     32.372334082              N/A   0.697596024195      add(add(div(X2, X16), X3), add(X93, X3))    182.83m
   7    36.88     57.856343855       27    32.2577767051              N/A   0.758297092982                 str too long - check pdf-file    190.23m
   8    59.88    41.6461121717       65    30.8630808996              N/A   0.776263877185                 str too long - check pdf-file    196.07m
   9    61.67    39.2667603168       33    29.0171569316              N/A     0.4532156503                 str too long - check pdf-file    198.51m
  10    65.62    47.4359407495      171    28.4171619432              N/A    1.09202611758                 str too long - check pdf-file    199.87m
  11    75.44    51.8918776139      173    27.9102082755              N/A    1.10008162663                 str too long - check pdf-file    202.33m
  12   114.34    114.090454119      121    27.1775032203              N/A   0.734051038586                 str too long - check pdf-file    200.87m
  13   160.46    192.968161315      285    26.9816389556              N/A     1.1607826707                 str too long - check pdf-file    201.77m
  14   166.98    1086.62412223      301    26.6186837279              N/A    1.18097072836                 str too long - check pdf-file    203.33m
  15   181.47    55.0415105142      207     26.495238666              N/A    1.10656449736                 str too long - check pdf-file    204.32m
  16   194.63    35.1660007159      175    26.2286212118              N/A    1.11660695297                 str too long - check pdf-file    203.61m
  17   183.86    61.8825258628      255    26.2286172543              N/A    1.11660695148                 str too long - check pdf-file    204.83m
  18   184.84    101.369498758      259    26.2286172543              N/A    1.11660695148                 str too long - check pdf-file    205.21m
  19   181.14     112.88667001      309    26.2207401656              N/A    1.11467348009                 str too long - check pdf-file    204.67m
  20   192.18    103.169690924      207    26.2176670861              N/A    1.11775456326                 str too long - check pdf-file    203.96m
  21   186.89    31.6198484406      175    25.9497233134              N/A    1.09871338491                 str too long - check pdf-file    202.98m
